idGroup|idProject|idIssue|descIssue|titleIssue|createAtIssue|labelsIssue|UpdateAtIssue|stateIssue|idAuthorIssue|idAssigneeIssue
1008|300|2922|Archivos que contengan el input para redirigirlo a la entrada|Hacer un par de casos de prueba|2019-10-29T15:42:09.678Z|high;workitem|2019-11-03T19:21:24.732Z|closed|828|831.0
1008|300|2921||Hacer más archivos de noticias|2019-10-29T15:41:26.110Z|high;workitem|2019-10-29T20:58:11.576Z|closed|828|828.0
1008|300|2920||Hacer Readme|2019-10-29T15:40:50.365Z|high;workitem|2019-11-03T19:10:46.908Z|closed|828|830.0
1008|300|2919|Problemas con cd bin|Arreglar Makefile|2019-10-29T15:40:18.122Z|high;workitem|2019-11-02T23:05:14.121Z|closed|828|829.0
1008|300|2917||Meeting Sprint 5|2019-10-29T13:15:04.325Z|Meeting|2019-10-29T15:48:16.896Z|closed|828|828.0
1008|300|2839||Terminar de poner los menús bonitos (fechafin)|2019-10-23T11:49:03.905Z|bug;medium|2019-10-29T13:56:38.062Z|closed|828|830.0
1008|300|2838||Cambiar la forma de leer las keywords y guardar el contenido en un ArrayList|2019-10-23T11:46:50.798Z|bug;high|2019-10-23T16:26:37.931Z|closed|828|830.0
1008|300|2837||Meeting Sprint 4|2019-10-23T11:37:02.544Z|Meeting|2019-10-23T12:02:18.715Z|closed|828|828.0
1008|300|2812|El concepto keyword se usa exclusivamente para filtrar, y son sencillamente palabras que se buscan en el cuerpo y el título de la noticia. La categoría, sin embargo, sí que es una entidad aparte.|Clase Noticia, falta categoría|2019-10-21T07:20:19.090Z|bug;high|2019-10-23T14:30:48.908Z|closed|828|830.0
1008|300|2808|Este meeting tuvo lugar el jueves 17-10, pero por problemas técnicos no se ha podido registrar hasta ahora.  Durante el meeting, se decidió la estructura de comunicaciones del gestor/cliente y se planificó el sprint 3, con el siguiente resultado:  ![photo_2019-10-20_20-08-49](/uploads/c98e747a9b4dc6926425c74e5e08285e/photo_2019-10-20_20-08-49.jpg)|Meeting Sprint 3|2019-10-20T18:09:49.149Z|Meeting|2019-10-20T18:10:03.656Z|closed|828|828.0
1008|300|2807||client.communication.recieveNewsChannelUpdates|2019-10-20T17:58:08.953Z|high;user-story|2019-10-21T07:13:42.611Z|closed|828|828.0
1008|300|2806||client.communication.subscribeToNewsChannel|2019-10-20T17:57:45.131Z|high;user-story|2019-10-21T07:13:42.337Z|closed|828|828.0
1008|300|2805||client.communication.recieveResponseFromClientHello|2019-10-20T17:57:08.071Z|high;user-story|2019-10-29T13:56:44.795Z|closed|828|831.0
1008|300|2804||client.communication.sendClientHello|2019-10-20T17:56:34.746Z|high;user-story|2019-10-23T22:19:25.290Z|closed|828|828.0
1008|300|2803||gestor.communication.answerClientHello|2019-10-20T17:55:48.836Z|high;user-story|2019-10-27T21:13:28.726Z|closed|828|829.0
1008|300|2802||gestor.communication.recieveClientHello|2019-10-20T17:55:22.110Z|high;user-story|2019-10-29T13:57:12.066Z|closed|828|830.0
1008|300|2801||gestor.communication.sendNewNews|2019-10-20T17:54:46.324Z|high;user-story|2019-10-27T21:13:51.419Z|closed|828|829.0
1008|300|2800||Clase Noticia|2019-10-20T17:52:10.481Z|high;workitem|2019-10-20T20:27:39.847Z|closed|828|830.0
1008|300|2672||Los menús no reconocen tildes|2019-10-13T22:34:06.409Z|bug;high|2019-10-21T07:26:59.045Z|closed|828|829.0
1008|300|2612||Repasar todo el programa en busca de bugs y posibles mejoras|2019-10-10T13:01:00.840Z|high;workitem|2019-10-13T22:32:08.426Z|closed|828|828.0
1008|300|2611||Mejorar el aspecto de los menús|2019-10-10T12:59:26.302Z|high;workitem|2019-10-13T12:06:54.101Z|closed|828|830.0
1008|300|2610||Simplificar menús de filtro por fecha y por temática|2019-10-10T12:58:06.482Z|bug;high|2019-10-13T22:33:13.843Z|closed|828|829.0
1008|300|2609|Debería preguntarte hasta el infinito, y dar un error si el input es inválido, no morir.|Login disfuncional|2019-10-10T12:56:22.401Z|bug;high|2019-10-13T16:53:42.158Z|closed|828|831.0
1008|300|2608||Meeting 2|2019-10-10T12:22:27.765Z|Meeting|2019-10-11T07:00:28.118Z|closed|828|828.0
1008|300|2476||cliente.menuParaConsultas.filtroPorTema|2019-10-03T11:01:21.347Z|high;user-story|2019-10-06T10:25:26.545Z|closed|828|829.0
1008|300|2475||cliente.menuParaConsultas.filtroPorFecha|2019-10-03T11:00:48.498Z|high;user-story|2019-10-11T06:56:17.541Z|closed|828|829.0
1008|300|2474||cliente.menuParaConsultas.filtroPorKeyword|2019-10-03T10:59:52.808Z|high;user-story|2019-10-04T11:58:24.404Z|closed|828|828.0
1008|300|2473||cliente|2019-10-03T10:48:20.688Z|feature;medium|2019-10-29T15:42:28.236Z|closed|828|
1008|300|2472||gestor.menuPrincipal|2019-10-03T10:47:15.482Z|high;user-story|2019-10-05T09:09:36.594Z|closed|828|830.0
1008|300|2436||cliente.mostrarNoticia|2019-09-30T12:57:37.309Z|medium;user-story|2019-10-23T22:19:25.561Z|closed|828|831.0
1008|300|2435||cliente.busquedaDeNoticiasFecha|2019-09-30T12:56:56.886Z|low;user-story|2019-10-23T11:57:35.830Z|closed|828|
1008|300|2434||cliente.busquedaDeNoticiasPorKeyWord|2019-09-30T12:56:23.023Z|low;user-story|2019-10-23T11:57:42.099Z|closed|828|
1008|300|2433||cliente.busquedaDeNoticiasPorTema|2019-09-30T12:56:05.696Z|low;user-story|2019-10-23T11:57:29.119Z|closed|828|
1008|300|2432||cliente.menuParaConsultas.shell|2019-09-30T12:55:36.977Z|high;user-story|2019-10-04T11:41:05.291Z|closed|828|828.0
